State,Year,Month,Live birth,RatePer1000Beneficiaries(LB),Miscarriages / stillbirths / terminations,RatePer1000Beneficiaries(m)
Alabama,2022,202201,2720,8.3,546,1.7
Alabama,2022,202202,2408,7.3,509,1.5
Alabama,2022,202203,2565,7.7,552,1.7
Alabama,2022,202204,2395,7.2,570,1.7
Alabama,2022,202205,2355,7,561,1.7
Alabama,2022,202206,2390,7,549,1.6
Alabama,2022,202207,2702,7.9,517,1.5
Alabama,2022,202208,2855,8.3,568,1.6
Alabama,2022,202209,2824,8.1,529,1.5
Alabama,2022,202210,2489,7.1,491,1.4
Alabama,2022,202211,2561,7.3,547,1.5
Alabama,2022,202212,2788,7.8,538,1.5
Alaska,2022,202201,323,5.2,128,2.1
Alaska,2022,202202,302,4.8,131,2.1
Alaska,2022,202203,317,5.1,115,1.8
Alaska,2022,202204,320,5.1,88,1.4
Alaska,2022,202205,320,5.1,92,1.5
Alaska,2022,202206,334,5.3,96,1.5
Alaska,2022,202207,333,5.2,86,1.4
Alaska,2022,202208,353,5.5,89,1.4
Alaska,2022,202209,323,5,86,1.3
Alaska,2022,202210,274,4.3,89,1.4
Alaska,2022,202211,281,4.3,82,1.3
Alaska,2022,202212,315,4.8,86,1.3
Arizona,2022,202201,3434,6,967,1.7
Arizona,2022,202202,3070,5.3,940,1.6
Arizona,2022,202203,3204,5.5,997,1.7
Arizona,2022,202204,3058,5.2,1018,1.7
Arizona,2022,202205,2988,5.1,1019,1.7
Arizona,2022,202206,3167,5.3,945,1.6
Arizona,2022,202207,3451,5.8,858,1.4
Arizona,2022,202208,3751,6.2,901,1.5
Arizona,2022,202209,3660,6,818,1.3
Arizona,2022,202210,3487,5.7,794,1.3
Arizona,2022,202211,3601,5.9,759,1.2
Arizona,2022,202212,3619,5.9,856,1.4
Arkansas,2022,202201,1150,4.3,245,0.9
Arkansas,2022,202202,1061,3.9,197,0.7
Arkansas,2022,202203,1159,4.3,265,1
Arkansas,2022,202204,1115,4.1,213,0.8
Arkansas,2022,202205,1080,4,250,0.9
Arkansas,2022,202206,1192,4.4,254,0.9
Arkansas,2022,202207,1186,4.3,250,0.9
Arkansas,2022,202208,1270,4.6,256,0.9
Arkansas,2022,202209,1269,4.6,208,0.8
Arkansas,2022,202210,1132,4.1,242,0.9
Arkansas,2022,202211,1144,4.1,222,0.8
Arkansas,2022,202212,1255,4.5,241,0.9
California,2022,202201,17507,4.5,11705,3
California,2022,202202,15785,4.1,11319,2.9
California,2022,202203,17018,4.4,12908,3.3
California,2022,202204,15649,4,11942,3.1
California,2022,202205,14105,3.6,11024,2.8
California,2022,202206,14526,3.7,10992,2.8
California,2022,202207,17125,4.3,10671,2.7
California,2022,202208,18536,4.6,11398,2.9
California,2022,202209,18086,4.5,10888,2.7
California,2022,202210,17296,4.3,10675,2.7
California,2022,202211,16968,4.2,10178,2.5
California,2022,202212,17910,4.4,11248,2.8
Colorado,2022,202201,2039,5,593,1.4
Colorado,2022,202202,1915,4.6,571,1.4
Colorado,2022,202203,2108,5.1,659,1.6
Colorado,2022,202204,2138,5.1,647,1.5
Colorado,2022,202205,2248,5.3,665,1.6
Colorado,2022,202206,2221,5.2,687,1.6
Colorado,2022,202207,2332,5.3,623,1.4
Colorado,2022,202208,2290,5.2,700,1.6
Colorado,2022,202209,2238,5,670,1.5
Colorado,2022,202210,2317,5.1,653,1.4
Colorado,2022,202211,2049,4.5,603,1.3
Colorado,2022,202212,2230,4.8,642,1.4
Connecticut,2022,202201,1299,4.8,1114,4.1
Connecticut,2022,202202,1155,4.2,1094,4
Connecticut,2022,202203,1262,4.6,1181,4.3
Connecticut,2022,202204,1202,4.4,1106,4
Connecticut,2022,202205,1228,4.4,1103,4
Connecticut,2022,202206,1250,4.5,1134,4.1
Connecticut,2022,202207,1402,5,1063,3.8
Connecticut,2022,202208,1417,5,1060,3.7
Connecticut,2022,202209,1327,4.7,1008,3.5
Connecticut,2022,202210,1285,4.5,983,3.4
Connecticut,2022,202211,1331,4.6,931,3.2
Connecticut,2022,202212,1372,4.7,1019,3.5
Delaware,2022,202201,415,5.6,127,1.7
Delaware,2022,202202,380,5.1,123,1.7
Delaware,2022,202203,394,5.3,145,1.9
Delaware,2022,202204,320,4.2,123,1.6
Delaware,2022,202205,357,4.7,113,1.5
Delaware,2022,202206,393,5.1,116,1.5
Delaware,2022,202207,451,5.8,119,1.5
Delaware,2022,202208,456,5.9,121,1.6
Delaware,2022,202209,435,5.5,114,1.5
Delaware,2022,202210,387,4.9,99,1.3
Delaware,2022,202211,404,5.1,96,1.2
Delaware,2022,202212,437,5.4,105,1.3
District of Columbia,2022,202201,241,3.5,102,1.5
District of Columbia,2022,202202,207,3,101,1.4
District of Columbia,2022,202203,211,3,125,1.8
District of Columbia,2022,202204,234,3.3,108,1.5
District of Columbia,2022,202205,213,3,121,1.7
District of Columbia,2022,202206,230,3.2,108,1.5
District of Columbia,2022,202207,270,3.8,109,1.5
District of Columbia,2022,202208,270,3.7,131,1.8
District of Columbia,2022,202209,230,3.2,111,1.5
District of Columbia,2022,202210,210,2.9,106,1.5
District of Columbia,2022,202211,239,3.3,102,1.4
District of Columbia,2022,202212,240,3.3,90,1.2
Florida,2022,202201,9123,7.3,2397,1.9
Florida,2022,202202,8213,6.5,2231,1.8
Florida,2022,202203,8585,6.7,2435,1.9
Florida,2022,202204,7983,6.2,2362,1.8
Florida,2022,202205,7943,6.1,2353,1.8
Florida,2022,202206,8195,6.2,2389,1.8
Florida,2022,202207,8766,6.6,1962,1.5
Florida,2022,202208,9126,6.8,2142,1.6
Florida,2022,202209,8700,6.4,2017,1.5
Florida,2022,202210,8702,6.4,2148,1.6
Florida,2022,202211,8961,6.5,2125,1.5
Florida,2022,202212,9540,6.9,2269,1.6
Georgia,2022,202201,5916,9.3,1357,2.1
Georgia,2022,202202,5105,8,1350,2.1
Georgia,2022,202203,5539,8.6,1448,2.2
Georgia,2022,202204,5058,7.8,1332,2
Georgia,2022,202205,5130,7.8,1440,2.2
Georgia,2022,202206,5449,8.2,1377,2.1
Georgia,2022,202207,5824,8.7,1260,1.9
Georgia,2022,202208,6138,9.1,1392,2.1
Georgia,2022,202209,5545,8.1,1290,1.9
Georgia,2022,202210,5344,7.8,1259,1.8
Georgia,2022,202211,5422,7.8,1264,1.8
Georgia,2022,202212,5806,8.3,1288,1.8
Hawaii,2022,202201,561,5.5,242,2.4
Hawaii,2022,202202,497,4.8,215,2.1
Hawaii,2022,202203,538,5.2,247,2.4
Hawaii,2022,202204,482,4.6,234,2.2
Hawaii,2022,202205,499,4.8,228,2.2
Hawaii,2022,202206,482,4.6,236,2.2
Hawaii,2022,202207,549,5.2,214,2
Hawaii,2022,202208,544,5.1,233,2.2
Hawaii,2022,202209,510,4.7,216,2
Hawaii,2022,202210,499,4.6,165,1.5
Hawaii,2022,202211,537,5,175,1.6
Hawaii,2022,202212,543,5,174,1.6
Idaho,2022,202201,698,6.7,155,1.5
Idaho,2022,202202,591,5.6,152,1.4
Idaho,2022,202203,676,6.4,180,1.7
Idaho,2022,202204,649,6.1,158,1.5
Idaho,2022,202205,711,6.6,150,1.4
Idaho,2022,202206,689,6.4,149,1.4
Idaho,2022,202207,718,6.6,145,1.3
Idaho,2022,202208,687,6.2,155,1.4
Idaho,2022,202209,720,6.5,173,1.6
Idaho,2022,202210,634,5.6,141,1.3
Idaho,2022,202211,610,5.4,139,1.2
Idaho,2022,202212,687,6,167,1.5
Illinois,2022,202201,4509,5.2,1787,2.1
Illinois,2022,202202,4204,4.8,1807,2.1
Illinois,2022,202203,4553,5.2,1946,2.2
Illinois,2022,202204,4360,4.9,1829,2.1
Illinois,2022,202205,4397,5,1911,2.2
Illinois,2022,202206,4596,5.1,1827,2
Illinois,2022,202207,4784,5.3,1737,1.9
Illinois,2022,202208,4866,5.4,1840,2
Illinois,2022,202209,4657,5.1,1862,2
Illinois,2022,202210,4519,4.9,1768,1.9
Illinois,2022,202211,4531,4.9,2016,2.2
Illinois,2022,202212,4624,4.9,2909,3.1
Indiana,2022,202201,2329,4.6,854,1.7
Indiana,2022,202202,2128,4.2,778,1.5
Indiana,2022,202203,2384,4.6,912,1.8
Indiana,2022,202204,2254,4.3,893,1.7
Indiana,2022,202205,2436,4.6,902,1.7
Indiana,2022,202206,2482,4.7,880,1.7
Indiana,2022,202207,2906,5.5,849,1.6
Indiana,2022,202208,3121,5.8,895,1.7
Indiana,2022,202209,2831,5.2,804,1.5
Indiana,2022,202210,3070,5.6,876,1.6
Indiana,2022,202211,3024,5.5,865,1.6
Indiana,2022,202212,3272,5.7,885,1.6
Iowa,2022,202201,1423,6.9,363,1.8
Iowa,2022,202202,1253,6.1,364,1.8
Iowa,2022,202203,1411,6.8,377,1.8
Iowa,2022,202204,1368,6.6,382,1.8
Iowa,2022,202205,1360,6.5,368,1.8
Iowa,2022,202206,1357,6.4,401,1.9
Iowa,2022,202207,1562,7.4,323,1.5
Iowa,2022,202208,1475,6.9,355,1.7
Iowa,2022,202209,1406,6.5,370,1.7
Iowa,2022,202210,1388,6.4,340,1.6
Iowa,2022,202211,1402,6.4,351,1.6
Iowa,2022,202212,1451,6.6,367,1.7
Kansas,2022,202201,1104,10.3,246,2.3
Kansas,2022,202202,1024,9.5,226,2.1
Kansas,2022,202203,1035,9.5,252,2.3
Kansas,2022,202204,961,8.7,251,2.3
Kansas,2022,202205,1048,9.4,274,2.5
Kansas,2022,202206,1054,9.3,271,2.4
Kansas,2022,202207,1088,9.5,228,2
Kansas,2022,202208,1218,10.5,261,2.3
Kansas,2022,202209,1120,9.6,241,2.1
Kansas,2022,202210,1034,8.8,214,1.8
Kansas,2022,202211,1083,9.1,217,1.8
Kansas,2022,202212,1137,9.4,233,1.9
Kentucky,2022,202201,2334,5.6,669,1.6
Kentucky,2022,202202,2149,5.2,651,1.6
Kentucky,2022,202203,2320,5.6,692,1.7
Kentucky,2022,202204,2190,5.3,650,1.6
Kentucky,2022,202205,2133,5.1,696,1.7
Kentucky,2022,202206,2289,5.5,641,1.5
Kentucky,2022,202207,2418,5.8,575,1.4
Kentucky,2022,202208,2668,6.3,692,1.6
Kentucky,2022,202209,2405,5.7,658,1.6
Kentucky,2022,202210,2312,5.5,619,1.5
Kentucky,2022,202211,2308,5.4,694,1.6
Kentucky,2022,202212,2454,5.8,664,1.6
Louisiana,2022,202201,3086,6.3,979,2
Louisiana,2022,202202,2854,5.8,944,1.9
Louisiana,2022,202203,2916,5.9,1079,2.2
Louisiana,2022,202204,2753,5.6,1025,2.1
Louisiana,2022,202205,2795,5.6,960,1.9
Louisiana,2022,202206,2896,5.8,1004,2
Louisiana,2022,202207,3338,6.7,962,1.9
Louisiana,2022,202208,3518,7,956,1.9
Louisiana,2022,202209,3333,6.6,923,1.8
Louisiana,2022,202210,3139,6.2,865,1.7
Louisiana,2022,202211,3189,6.3,905,1.8
Louisiana,2022,202212,3489,6.8,902,1.8
Maine,2022,202201,353,3.7,109,1.1
Maine,2022,202202,341,3.5,116,1.2
Maine,2022,202203,416,4.2,135,1.4
Maine,2022,202204,361,3.7,126,1.3
Maine,2022,202205,409,4.1,109,1.1
Maine,2022,202206,408,4.1,121,1.2
Maine,2022,202207,390,3.9,116,1.2
Maine,2022,202208,418,4.1,127,1.3
Maine,2022,202209,383,3.8,109,1.1
Maine,2022,202210,403,3.9,106,1
Maine,2022,202211,403,3.9,110,1.1
Maine,2022,202212,434,4.1,120,1.1
Maryland,2022,202201,2606,6.2,861,2.1
Maryland,2022,202202,2325,5.5,910,2.2
Maryland,2022,202203,2589,6.1,940,2.2
Maryland,2022,202204,2382,5.6,925,2.2
Maryland,2022,202205,2513,5.9,957,2.2
Maryland,2022,202206,2523,5.9,962,2.2
Maryland,2022,202207,2751,6.4,882,2
Maryland,2022,202208,2681,6.2,891,2.1
Maryland,2022,202209,2532,5.8,875,2
Maryland,2022,202210,2602,5.9,822,1.9
Maryland,2022,202211,2505,5.7,851,1.9
Maryland,2022,202212,2740,6.2,825,1.9
Massachusetts,2022,202201,2288,4.5,1194,2.3
Massachusetts,2022,202202,2024,3.9,1165,2.3
Massachusetts,2022,202203,2281,4.4,1290,2.5
Massachusetts,2022,202204,2282,4.4,1265,2.4
Massachusetts,2022,202205,2262,4.3,1290,2.4
Massachusetts,2022,202206,2224,4.2,1230,2.3
Massachusetts,2022,202207,2465,4.6,1163,2.2
Massachusetts,2022,202208,2560,4.7,1242,2.3
Massachusetts,2022,202209,2476,4.5,1151,2.1
Massachusetts,2022,202210,2341,4.2,1141,2.1
Massachusetts,2022,202211,2332,4.2,1193,2.1
Massachusetts,2022,202212,2443,4.4,1357,2.4
Michigan,2022,202201,3485,4.7,1413,1.9
Michigan,2022,202202,3261,4.3,1374,1.8
Michigan,2022,202203,3630,4.8,1560,2.1
Michigan,2022,202204,3454,4.6,1382,1.8
Michigan,2022,202205,3591,4.7,1521,2
Michigan,2022,202206,3557,4.6,1495,2
Michigan,2022,202207,3652,4.7,1450,1.9
Michigan,2022,202208,3706,4.8,1466,1.9
Michigan,2022,202209,3506,4.5,1367,1.8
Michigan,2022,202210,3469,4.4,1400,1.8
Michigan,2022,202211,3444,4.4,1329,1.7
Michigan,2022,202212,3606,4.5,1345,1.7
Minnesota,2022,202201,1944,6,690,2.1
Minnesota,2022,202202,1927,6,619,1.9
Minnesota,2022,202203,2042,6.3,760,2.3
Minnesota,2022,202204,1979,6,713,2.2
Minnesota,2022,202205,2127,6.5,684,2.1
Minnesota,2022,202206,2159,6.5,661,2
Minnesota,2022,202207,2225,6.7,707,2.1
Minnesota,2022,202208,2130,6.3,648,1.9
Minnesota,2022,202209,2092,6.2,630,1.9
Minnesota,2022,202210,2064,6,649,1.9
Minnesota,2022,202211,2031,5.9,673,1.9
Minnesota,2022,202212,2232,6.4,685,2
Mississippi,2022,202201,1768,5.7,383,1.2
Mississippi,2022,202202,1631,5.5,385,1.3
Mississippi,2022,202203,1716,5.7,420,1.4
Mississippi,2022,202204,1664,5.5,432,1.4
Mississippi,2022,202205,1610,5.3,443,1.5
Mississippi,2022,202206,1768,5.8,440,1.4
Mississippi,2022,202207,2034,6.7,464,1.5
Mississippi,2022,202208,1948,6.3,462,1.5
Mississippi,2022,202209,1137,4.8,350,1.5
Mississippi,2022,202210,1015,4.8,308,1.5
Mississippi,2022,202211,1126,5.3,370,1.7
Mississippi,2022,202212,1179,5.5,351,1.6
Missouri,2022,202201,2490,8,598,1.9
Missouri,2022,202202,2245,7.1,580,1.8
Missouri,2022,202203,2474,7.7,644,2
Missouri,2022,202204,2327,7.1,625,1.9
Missouri,2022,202205,2329,7,666,2
Missouri,2022,202206,2457,7.3,664,2
Missouri,2022,202207,2877,8.4,630,1.8
Missouri,2022,202208,2800,8.1,709,2
Missouri,2022,202209,2688,7.6,638,1.8
Missouri,2022,202210,2582,7.2,598,1.7
Missouri,2022,202211,2550,7,601,1.7
Missouri,2022,202212,2762,7.5,614,1.7
Montana,2022,202201,340,4.4,186,2.4
Montana,2022,202202,320,4.1,160,2.1
Montana,2022,202203,369,4.8,176,2.3
Montana,2022,202204,360,4.6,187,2.4
Montana,2022,202205,393,5,176,2.2
Montana,2022,202206,374,4.7,162,2.1
Montana,2022,202207,411,5.2,134,1.7
